,in domain,ood,text,domain,dataset,partition
10,imdb,sst2,"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . ",ood,sst2,common
11,imdb,sst2,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ",ood,sst2,common
12,imdb,sst2,"( director ) o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short . ",ood,sst2,common
13,imdb,sst2,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.",id,imdb,msp
14,imdb,sst2,"Lucio Fulci made a lot of great films throughout his career and the way that many of them featured a bucket load of gore lead to him earning the title 'The Godfather of Gore'. While Don't Torture a Duckling was made before Fulci became well known amongst gorehounds, and isn't all that gory; it's certainly a gritty and nasty little thriller, and for my money - the best film that Fulci ever made! Don't Torture a Duckling really is head and shoulders above a lot of the Giallo genre in terms of production values and unlike many of Fulci's later films, everything about this Giallo is great. The plot focuses on a small rustic community where dead bodies have began turning up. The murders are even more shocking because the victims are just young boys. Shortly after the police convict an innocent man of the crimes, a reporter named Andrea Martelli arrives in the village and decides to start investigating the murders on his own. Martelli soon encounters various suspects, including a sexy young lady named Patricia, a sinister priest and a local witch who enjoys making wax effigies and sticking pins into them.<br /><br />While this film may not feature loads of gore, it does have two of Fulci's nastiest sequences to make up for it. The nastiest involves a woman being brutally slaughtered by a group of men in a cemetery, while the image of a man falling from a cliff and hitting any number of rocks on the way down is liable to turn some stomachs. Don't Torture a Duckling features an absolutely great Italian cast. Barbara Bouchet (a personal favourite of mine) is incredibly sexy in her role as Patricia, and gets to flex her acting muscles more than she did in many later films. Tomas Millian is excellent as usual while the rest of the cast is well fleshed out by likes of Irene Pappas, Florinda Bolkan and Marc Porel. The cinematography on display is stunning and Fulci really gives the viewer the impression that he puts a lot of care and effort into every scene. The story plays out slowly, and it's always interesting as Fulci never allows the film to stray too much from the central plot line. There isn't a great deal of mystery towards the identity of the murderer; but Fulci almost manages to keep us guessing right up until the end and Don't Torture a Duckling does climax on a high. Overall, it's a shame that Fulci didn't make more films like this. Don't Torture a Duckling is his out and out best work and I insist that every Giallo fans sees it!",id,imdb,msp
15,imdb,sst2,"This movie was everything but boring. It deals with reality. To the people who think this movie was boring, open your eyes to the real problems in our society. Our children are dying. The consequences of alcohol and drug abuse are not to be ignored. I work in a correctional facility as a chemical dependency counselor,and i deal with these problems every day. People of all ages and all walks of life are effected by the consequences of their alcohol and drug abuse. It destroys families, hurts people and leads to serious brain damage,all kinds of health problems, and death. It is all preventable. This movie should be shown in every high-school in the world. If anyone owns this movie and wants to sell it, or sell me a copy, please e-mail me at: Ottenbreit2@netzero.net thank you",id,imdb,msp
16,imdb,sst2,"This movie was ridiculous from the start. Let me save you all time from watching this movie. A woman who sells corn liquor to the locals takes in her cousin or nephew and he convinces her to open a café downstairs from her home. She does and she and the cousin become close. There is a scene later where she is locking lips with him. Later, the woman finds out an old boyfriend is coming back from jail and its tense between them, leading to a down and out fist fight in the café. The woman's cousin/nephew is enamored by the man. The ending was awful, the story was awful, and if I could get back the time wasted on this movie, I would appreciate it. A definite skip.",id,imdb,msp
17,imdb,sst2,"This film is by far the worst film I have ever seen in my life. A woman ""The EX"" pretends to be a number of people in order to gain access to her ex-husband. Killing people for no- reason in baths to achieve her goal. The women I don't think ever went to acting college. She just spends the whole film making stupid expressions, and she looks like she is trying her absolute hardest to avoid looking into the camera. Failing on most occasions. She makes friends with her Ex Husband's wife and son, she does this to use them against her husband. At first when you watch this film, you think that the ""Ex"" wants to kill her ex-husband, maybe because he has treated her in a bad way. But in fact the women is obsessed with the man and wants him back. The two of them used to enjoy rough entertainment (using whips of course). My advice to the general public is do not buy this film, do not rent this film and do not watch it like I did (at 1.15am on FOX)",id,imdb,msp
18,imdb,sst2,"I first watched this in black and white, circa Christmas in the early Sixties, when it was shown on British television. I was absolutely hooked, and watched it over again whenever it was repeated on TV (possibly two or three times only, as it happens - if only we'd had video recorders then!).<br /><br />As outlined by other contributors, the plot describes the return of Hoppity the Grasshopper, after a period spent away, to a Forties American city. He finds that all is not as he left it, and his good insect friends (who live in the 'lowlands' just outside the garden which belongs to a songwriter and his wife) are now under threat from the 'human ones', who are trampling through the broken down fence which prefaces the property, using it as a shortcut.<br /><br />Insect houses are being flattened by their feet, and are also often burned by cast away cigar butts and matches. Old Mr Bumble and his beautiful daughter Honey (Hoppity's childhood sweetheart) are in grave danger of losing their Honey Shop to this threat.<br /><br />To compound their problems, devious insect 'property magnate' C. Bagley Beetle has romantic designs on Honey Bee himself, and hopes, with the help of his henchmen Swat the Fly and Smack the Mosquito, to force Bumble to give him her hand in marriage.<br /><br />Will the heroic and fearless Hoppity win the day, and manage to save the community of bugs from their dastardly fate, and especially his precious Honey from hers? Enjoy the classic songs (""Katy Did, Katy Didn't"" is a superb, swinging, upbeat example), and the colourful visuals, as the tale unfolds.<br /><br />Time has not blunted my fascination for this masterpiece of animation and story-telling, and I was much pleased to find that it had been released to video, although I later found out that it was in NTSC PAL format. Never mind, I sent off for the video immediately, and only then bought a portable TV/video combination (complete with NTSC playback).<br /><br />I have enjoyed many nostalgic viewings since then, and have even discovered that the TV rights have switched from BBC (who informed me they were unlikely to ever show the film on any of their stations) to FilmFour, who have (at last!) been showing it on their digital stations in early 2007.<br /><br />My granddaughter (aged three) was absolutely entranced while we watched it together - and this is a child who has been influenced by the digital age and the resulting computer-generated productions!<br /><br />I would thoroughly recommend this film for any age, and especially the youngest of viewers.<br /><br />Give Max Fleischer a posthumous Oscar!",id,imdb,msp
19,imdb,sst2,"Hayao Miyazaki has captured the imagination of audiences young and old across the globe, and his most recent cinematic work of art is ""Ponyo,"" a children's fairytale borrowing on story elements from The Little Mermaid. Of course like other Miyazaki classics such as ""Spirited Away"" and his last film, ""Howl's Moving Castle,"" ""Ponyo"" is full of a creativity that can only be truly appreciated by adults, but this it is distinctly more a children's story than those recent efforts. It's a magical story best described as beautiful and lovable, aiming for charm instead of conflict.<br /><br />""Ponyo"" is the story of a bug-eyed childish-looking fish of the same name, the daughter of an undersea sorcerer, who longs to escape the sea and become a little girl. When she does, she quickly befriends a young boy named Sosuke. In the process she gains a strong magic and unknowingly throws the world out of balance between land and sea, and a giant storm drowns most of the cliff-top town where Sosuke lives with his mother, and it threatens to end the world.<br /><br />Like ""Howl's Moving Castle,"" Walt Disney picked up ""Ponyo"" for an American release and dubbed it over with an impressive selection of Western voices, even choosing homegrown products in the youngest siblings of Disney band the Jonas Brothers (Frankie Jonas) and Miley Cyrus (younger sister Noah) to voice Sosuke and Ponyo, respectively. Also voicing characters are Liam Neeson (Fujimoto, Ponyo's father), Tina Fey (Lisa, Sosuke's mother), Matt Damon (Sosuke's father), Cate Blanchett (Ponyo's sea goddess mother) and a trio of hilarious elderly women are played by Betty White, Cloris Leachman and Lily Tomlin. The effort is definitely there to make this film appeal to American audiences and Disney is getting close.<br /><br />But voices are of little significance in a Miyazaki film, which is all about visual creativity. A fan of transformations and animating liquid and fluid motion, creating a fairytale taking place partly underwater must've been a joy for Miyazaki to work with and maybe even his entire motivation for choosing this story. Among the highlights are droplets of water that Fujimoto sends after Ponyo that move like living waves, as well as a variety of other magnificent sea creatures and breathtaking storm scenes make ""Ponyo"" as awing as any other Miyazaki film.<br /><br />As a children's story, however, ""Ponyo"" concentrates its efforts on being adorable. The discovery of true friendship and love between Sosuke and Ponyo is heart-warming, even if Noah Cyrus shouting childishly when Ponyo excitedly embraces human life can get a bit annoying. But as delightful as many of the imaginative elements and loving relationships are, there's very little antagonism or danger. Past Miyazaki films have clear villains, but the conflict in ""Ponyo"" actually shrinks as the story goes along. Sosuke believes he's lost his mother at one point and in the background is the idea of the world going out of whack and that humans should be ashamed of polluting the sea, but ""Ponyo"" is mostly tension free. Most glaringly, its climax is uneventful despite how overall likable all the characters are.<br /><br />""Ponyo"" will surely satisfy Miyazaki's fans in every way with its imagination, and newcomers will still be smitten by his simple yet visually ambitious storytelling, but this is distinctly more of a children's movie, best for families and others who love fantasy regardless of its form or target audience. It's not quite what you'd expect from Miyazaki considering his recent work, but it's sure to be remembered as another of his beloved stories. ~Steven C<br /><br />Visit my site at http://moviemusereviews.blogspot.com",id,imdb,msp
20,imdb,sst2,"This is a weak throw-together of just about everything: refugees, Croatia-Slovenia relations, globalization, sexual orientation.. A very big clumsy metaphor about Slovenia being at the cross roads between its past, which is symbolized by everything ""virgin"" becoming queen of the household, and its future, which is symbolized by listening to music in clubs and being a lesbian and never having kids.<br /><br />It plays on a rather recent Slovenian legend involving a virgin and a ""forest king"" assuming the shape of a goat (Zlatorog Beer's imagery is also based on that legend), but unfortunately, the treatment is very incoherent. Weiss seems to think the end justifies the means: she can use all kinds of ""dream-like"" sequences, and then pick and choose which ones true, and which ones are imaginary. How can the ride in the jeep with the ""forest king"" be real for all three girls, but the scene outside the tent be real only in Simona's imaginary ? The ending just drags on and on (I can't believe the movie's runtime is only 98 minutes, have I been watching a director's cut without knowing it?), with the three girls having to look at the camera for about 10 seconds while looking afraid and happy at the same time (so obvious).<br /><br />I never thought I could spot bad acting in a movie whose language I don't understand, but it didn't take long to see that ""Simona"" is over-acting most of the time, as if she was playing in a silent movie.<br /><br />It wasn't so bad as I kept thinking the director was just starting and wanted to capture what she thought her generation was all about on film by doing a half-experimental movie, until I realized that the director was actually 37 years old when making the movie and that her work is probably ""serious"".",id,imdb,msp
21,imdb,sst2,"A group of obnoxious teens go to a former funeral parlor for a Halloween party. They get trapped inside, and become possessed by demons that they have accidentally awakened. The possessed teens start killing the others off and seem to be led by Angela (Mimi Kinkade) who floats and talks in a really deep voice. The remaining teens that haven't been possessed yet are forced to fight off the demons and try to escape the house.<br /><br />This is a pretty decent horror film with great special effects which include Linnea Quigley (who has a couple nude scenes as usual) gouging out a guy's eyeballs and pushing a tube of lipstick into her nipple. There's also a scene where a couple has sex in a coffin and a guy getting his tongue bitten out. This is a great film to watch with a bunch of friends late at night while eating some pizza. The terrible acting and atrocious dialog almost ruins it though. Overall, I would give it a 7 out of 10.",id,imdb,msp
22,imdb,sst2,"I just read an extra long review on the front page of this movie on this site and he explained in full detail that this movie is only worth watching on the television show ""Mystery Science Theater 3000!!!!!"" And yes, I do find that advice really helpful! I mean, a movie that tries to be this good and this exciting just really is not what that movie wants to be!!!!! So yes, do watch this movie as seen on that show and instead of giving this movie a single star out of ten stars, you can give this a ten out of ten stars! Until then, my one star review is for the real, pure, untouched version of this movie only!!!!!! Got that now?",id,imdb,msp
23,imdb,sst2,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ",ood,sst2,msp
24,imdb,sst2,it takes talent to make a lifeless movie about the most heinous man who ever lived . ,ood,sst2,msp
25,imdb,sst2,"well-nigh unendurable ... though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull . ",ood,sst2,msp
26,imdb,sst2,what better message than ` love thyself ' could young women of any size receive ? ,ood,sst2,msp
27,imdb,sst2,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,ood,sst2,msp
28,imdb,sst2,montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,ood,sst2,msp
29,imdb,sst2,"this is a shameless sham , calculated to cash in on the popularity of its stars . ",ood,sst2,msp
30,imdb,sst2,to call the other side of heaven `` appalling '' would be to underestimate just how dangerous entertainments like it can be . ,ood,sst2,msp
31,imdb,sst2,rarely has so much money delivered so little entertainment . ,ood,sst2,msp
32,imdb,sst2,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",ood,sst2,msp
33,imdb,sst2,"Ocean's 12 starts off on annoying and gets worse from there on. Like a celebrity awards presentation, each major actor/actress is introduced in short 60-second scenarios that seem to stop just short having a blinking ""applaud now"" sign. The first 60 minutes of the film are incredibly disjointed, poorly edited, and at times, utterly unrelated to the story and confusing. Speaking of the story,...there is one, kinda,...but its barely visible for all the ""look at me"" shots and cameos. Only Matt Damon seemed to actually ""act"" during this film...the rest of the cast appeared to only be there to participate in a rat-pack-wanna-be session. As for the heist, the action, the drama....it was put into the last 8-10 minutes of the movie and was pathetic and anticlimactic. Horrible! Horrible! Horrible!",id,imdb,pps
34,imdb,sst2,"This is a student film and it's a piece of crap. I would use much stronger language to describe it but then the review wouldn't be posted and the world needs to know- beyond any possible reasonable doubt- this movie REALLY SUCKS.<br /><br />There seems to be a different ruler used when measuring an already famous director's early work. Like somehow it was genius that we were just too stupid to comprehend since he finally got it right now today. I'm not buying it. The early movie ""Bad taste"" made by the LOTR Peter Jackson's sucks and this ""early work"" from another famous director really sucks the same way too. These ""early works"" are representative of crappy everything, from budget to scripts to actors etc.. it all is bottom of the bucket trash. Don't be fooled by the big name.<br /><br />If you like watching a handful of male 70's hippie burnouts pretend they could ever command a ship with the worst special effects you have ever seen- this is your movie.<br /><br />I can't f*37449ing believe this thing won a golden scroll award for best special effects. That is a joke right? Or a joke award?<br /><br />If you want to watch what this movie WISHES it was rent a season or three of Red Dwarf you smeghead.",id,imdb,pps
35,imdb,sst2,"''Queen of the Damned '' is one of the worst adaptations of a book to a movie that I already saw. The only thing that I like in this movie is the soundtrack, anything else besides that.( Since I am a fan of Korn, Marilyn Manson, Chester Bennington of Linkin Park and Wayne Static of Static-X)<br /><br />There are so many mistakes and so many bad choices that I don't even know how to start. So many stories were cut, like the twin's legend (one of my favorite)Armand and Daniel's relationship and even Louis is not present, to mention a few.(The plot was dead) First, they should have made a movie of ''The Vampire Lestat'', because it is the second book after ''The interview with the vampire'',and not ''Queen of Damned''. They tried to squeeze in a single movie so many informations, that you finish not getting almost anything unless you read the vampire chronicles.<br /><br />So many meaningful characters doesn't seem to have a real importance in this movie. It is Pandora's case, for example.<br /><br />The actors that they choose to play all the characters doesn't match with many of Anne Rice's descriptions, specially Marius, that is suppose to be a beautiful,tall,imposing blond guy with blue eyes, like Lestat. (Stuart Towsend is also far from being like Lestat) I didn't understand why they changed Lestat's maker to be Marius instead of Magnus as well.<br /><br />''Interview with the vampire'' was an awesome movie, I loved the actors and Tom Cruise as Lestat was PERFECT and far superior then Stuart Townsend.(I am sad that Tom Cruise declined the chance of playing Lestat again) Only Antonio Bandeiras as Armand didn't match with Armand's looks, but anyway, far superior from this crap movie called '' The Queen of Damned''.<br /><br />Anne Rice was so picky about Interview that I didn't get how she just sold the rights for this terrible production.",id,imdb,pps
36,imdb,sst2,"1st watched 8/7/2004 - 3 out of 10(Dir-Brett Thompson): Silly, juvenile-focused movie about three kids being zapped into their favorite cartoon with their parents experiment. The script left much to be desired in this Hanna-Barbara like rip-off of some Saturday morning 'live-action with people in dinosaur costumes kids show' with some goofy cavemen hanging around. Nothing really to admire about this and nothing much to be said either. I'm just amazed I found this at a Blockbuster video store as bad as it was and the way the stores are ridding themselves of old VHS movies. I guess they couldn't even sell it, so back on the rental rack it went.",id,imdb,pps
37,imdb,sst2,"One would think that anyone embarking upon a followup to the groundbreaking Naked Civil Servant of 30-plus years ago would at the very least try to honor the original with some kind of inspired vision, but no. Here we have a sort of biopic of one of the most stylish people of the late 20th century that itself boasts no style whatsoever. True, the filmmakers have assembled some outstanding actors - and handed them a chipped mug of drab gruel to work with. Everything in the infrastructure of this film is wrong, starting with the script, which is another one of those TV-movie condensations of great lives wherein every other line is a ""famous quote"" by the subject and every other scene is an in-your-face introduction to the next pivotal character in the subject's life. We get Swoozie Kurtz as a PR maven who promotes Crisp as a stateside entertainer; Denis O'Hare as the editor of a gay periodical who hires Crisp as film reviewer, becomes somewhat alienated from him when he appears indifferent to the passions of 80's AIDS activists, and then returns to the fold as a compassionate friend of the dying octogenarian; Jonathan Tucker (in a fine performance) as a shy, insecure painter of gay-themed canvases who is befriended by Crisp; and finally Cynthia Nixon as performance artist and Woman-About-Bohemia Penny Arcade who, intrigued by Crisp's persona, offers him a spot in her traveling cabaret act. Nixon is a persuasive and gifted performer but is given no chance by the script to embody the down-to-earth and streetwise Arcade. Crisp spent the last 20 years of his life in a one-room flat in an old tenement building in Manhattan's East Village. He famously said that he never cleaned because ""after a few years the dust doesn't get any worse,"" or something like that. But looking at the depiction of that flat in this film you'd never get the flavor of that dustiness. He frequented a local coffee shop on a busy avenue and would be seen pretty much each day of the week sipping tea and watching the world go by. In this film we get a diner that looks like something on 12th Avenue by the Hudson River. Most of the ""streets of New York"" scenes have a sterile, unreal look with no sense of the period. <br /><br />The soul of this film is the great John Hurt in the title role. After nearly 35 years he can still grasp the essence of this peculiar post-Edwardian Englishman and put it across to third millennarians. His every line, every gesture is exquisite. In the later scenes he even modulates his vocal projection to suit that of a person whose life is winding down toward death. Crisp wrote shortly before he left this realm that when one grows very, very old one's skin takes on the character of a smelly overcoat that cannot be removed and one longs for death. One senses that feeling in Hurt's performance. So, for him and him alone this film is worth a look.",id,imdb,pps
38,imdb,sst2,"This has got to be the most appalling abuse of the word comedy ever witnessed.It is simply not funny and the scriptwriters have obviously just tried to use the name of the TV series in order to make a few quid at the box office. This film makes a carry on seem subtle as far as sexual innuendo goes ( no mean feat), and has all the charisma of a corpse with rigamortis. A complete washout I'm afraid!!",id,imdb,pps
39,imdb,sst2,"This piece of crap doesn't worth a critical review so I'll write some information for those who don't know the background of this movie. First off all it is not the first Saudi movie, they used this wrong info for commercial purpose (they lied!). Second they made it for money not for anything else so they picked the jerk (Hesham) who won Star Academy (like Big Brother) it is a popular show and the jerk Hesham is popular but dumb, cheesy & untalented then picked the famous Kuwaiti actor Mohammed Al Sairafi (also dumb & untalented) but has a popular (count how many times I'll use the word ""popular"" then email me to get your prize, however..) has popular show and the Jordanian actress Mais Hamdan who appeared in POPular comic show CBM (unfunny) so she is famous * PoPular! Then they picked some Saudi actors for .. blah blah blah. The funniest thing is the director! He is Canadian with Palestinian roots (I believe that the identity of the movie is the identity of its director) .. wait a minute! The screen play was written by an Egyptian screenwriter (very awful one!) with some help from Lebanese critic (famous as critic but actually he is a money collector!). This group of the multi races (money slaves) doesn't know anything about the Saudi culture they don't represent it but when we know who is behind this garbage all our questions will be relieved! Waleed bin Talaal is Saudi prince and (B U S I N E S S M A N) who doesn't care about the Saudi culture or Saudi people he even doesn't live in Saudi Arabia (even if he lives he will live in his own world, his world is far far far away from the real world the people world) so he doesn't know anything or care about anything except raising his endless fortune.<br /><br />*Not Saudi movie(not anything movie).<br /><br />Screw them all.<br /><br />Beep out of 10!",id,imdb,pps
40,imdb,sst2,"Avoid this one! It is a terrible movie. So what if it is very exciting? All it is is just pointless murders. And the whole thing with Thorn and Michael's curse, that was the absolute worst thing they could possibly do to the series! Why couldn't they leave Michael's story a mystery? He's supposed to be the Boogeyman, not part of some stupid cult!! Ugh! Thank God for Halloween H20, which wiped out Halloween 3-6! They all sucked! But anyway, if you see this movie, please expect no more than pointless murders and gore.",id,imdb,pps
